Line No:	Host Time:	Qemu Time:	Difference:
22		182.0		658.0		261.53846153846155
24		174.0		476.0		173.5632183908046
26		198.0		604.0		205.05050505050505
28		176.0		486.0		176.13636363636365
30		174.0		480.0		175.86206896551724
32		172.0		480.0		179.06976744186048
34		172.0		466.0		170.93023255813952
36		346.0		1544.0		346.242774566474
38		174.0		518.0		197.70114942528735
40		170.0		464.0		172.94117647058823
42		170.0		454.0		167.05882352941177
44		174.0		460.0		164.36781609195404
46-49		170.0		490.0		188.23529411764704
51		170.0		464.0		172.94117647058823
53		216.0		760.0		251.85185185185185
55		1552.0		2592.0		67.0103092783505
57		200.0		632.0		216.0
59		1548.0		2570.0		66.02067183462532
61		174.0		466.0		167.816091954023
63		1530.0		2580.0		68.62745098039215
65		174.0		464.0		166.66666666666669
67-70		194.0		538.0		177.31958762886597
72-75		186.0		504.0		170.96774193548387
Line No:	Host Time:	Qemu Time:	Difference:
22		194.0		664.0		242.26804123711338
24		176.0		482.0		173.86363636363635
26		194.0		616.0		217.52577319587627
28		176.0		480.0		172.72727272727272
30		174.0		480.0		175.86206896551724
32		176.0		492.0		179.54545454545453
34		172.0		462.0		168.6046511627907
36		344.0		1408.0		309.3023255813954
38		176.0		514.0		192.04545454545453
40		172.0		482.0		180.2325581395349
42		172.0		454.0		163.95348837209303
44		174.0		468.0		168.9655172413793
46-49		170.0		478.0		181.1764705882353
51		172.0		484.0		181.3953488372093
53		220.0		724.0		229.0909090909091
55		1536.0		2574.0		67.578125
57		202.0		626.0		209.9009900990099
59		1526.0		2554.0		67.36566186107471
61		176.0		470.0		167.04545454545453
63		1514.0		2624.0		73.31571994715983
65		172.0		466.0		170.93023255813952
67-70		190.0		540.0		184.21052631578948
72-75		184.0		508.0		176.08695652173913
Line No:	Host Time:	Qemu Time:	Difference:
22		206.0		612.0		197.0873786407767
24		178.0		462.0		159.5505617977528
26		192.0		554.0		188.54166666666669
28		170.0		454.0		167.05882352941177
30		170.0		448.0		163.52941176470588
32		170.0		450.0		164.70588235294116
34		170.0		452.0		165.8823529411765
36		356.0		1530.0		329.7752808988764
38		176.0		476.0		170.45454545454547
40		176.0		462.0		162.5
42		184.0		476.0		158.69565217391303
44		174.0		482.0		177.01149425287358
46-49		174.0		460.0		164.36781609195404
51		180.0		472.0		162.22222222222223
53		232.0		684.0		194.82758620689654
55		1524.0		2582.0		69.4225721784777
57		206.0		650.0		215.53398058252426
59		1514.0		2566.0		69.48480845442536
61		170.0		488.0		187.05882352941177
63		1518.0		2562.0		68.77470355731225
65		178.0		462.0		159.5505617977528
67-70		190.0		522.0		174.73684210526318
72-75		192.0		500.0		160.41666666666669
Line No:	Host Time:	Qemu Time:	Difference:
22		196.0		622.0		217.3469387755102
24		170.0		458.0		169.41176470588235
26		194.0		598.0		208.2474226804124
28		170.0		464.0		172.94117647058823
30		170.0		460.0		170.58823529411765
32		170.0		466.0		174.11764705882354
34		170.0		464.0		172.94117647058823
36		344.0		1456.0		323.25581395348837
38		172.0		500.0		190.69767441860466
40		168.0		462.0		175.0
42		174.0		454.0		160.91954022988506
44		176.0		472.0		168.1818181818182
46-49		170.0		466.0		174.11764705882354
51		180.0		472.0		162.22222222222223
53		224.0		720.0		221.42857142857144
55		1514.0		2608.0		72.25891677675033
57		212.0		662.0		212.26415094339623
59		1504.0		2602.0		73.00531914893617
61		170.0		474.0		178.82352941176472
63		1510.0		2586.0		71.25827814569536
65		172.0		472.0		174.41860465116278
67-70		184.0		514.0		179.34782608695653
72-75		184.0		512.0		178.26086956521738
Line No:	Host Time:	Qemu Time:	Difference:
22		186.0		650.0		249.46236559139786
24		168.0		472.0		180.95238095238096
26		192.0		594.0		209.375
28		170.0		480.0		182.35294117647058
30		170.0		470.0		176.47058823529412
32		170.0		472.0		177.6470588235294
34		170.0		478.0		181.1764705882353
36		334.0		1396.0		317.96407185628743
38		170.0		470.0		176.47058823529412
40		170.0		468.0		175.2941176470588
42		168.0		478.0		184.52380952380955
44		174.0		464.0		166.66666666666669
46-49		170.0		460.0		170.58823529411765
51		170.0		486.0		185.88235294117646
53		222.0		698.0		214.4144144144144
55		1524.0		2576.0		69.02887139107612
57		196.0		674.0		243.8775510204082
59		1526.0		2546.0		66.84141546526867
61		174.0		486.0		179.31034482758622
63		1516.0		2584.0		70.44854881266491
65		170.0		486.0		185.88235294117646
67-70		184.0		524.0		184.7826086956522
72-75		190.0		508.0		167.3684210526316
